Prevalensi Ketidakcukupan Konsumsi Pangan (Persen) Per Kabupaten/kota (Persen)
"Kabupaten/Kota,2025,2024,2023,2022,2021"
"Kota Salatiga,4.67,4.04,5.83,5.97,6.89"
"Kota Semarang,4.06,4.15,6.81,7.08,6.66"
"Kota Pekalongan,6.67,5.05,7.76,8.41,7.72"
"Kota Tegal,5.6,5.02,7.16,9.07,7.62"
"Kulon Progo,10.01,8.75,13.44,19.09,14.23"
"Bantul,9.58,9.27,9.75,11.42,9.57"
"Gunung Kidul,7.36,8.84,14.67,22.85,13.27"
"Sleman,6.81,8.05,6.64,8.08,6.95"
"Kota Yogyakarta,9.52,10.35,8.74,12.06,10.59"
"Pacitan,11.74,14.05,11.36,15.38,14.81"
"Ponorogo,8.36,10.41,9.19,11.11,11.96"
"Trenggalek,12.07,14.75,11.83,14.27,13.84"
"Tulungagung,8.9,10.06,7.68,9.45,8.26"
"Blitar,8.16,11.99,10.91,12.76,11.27"
"Kediri,9.94,9.37,8.37,9.97,9.53"
"Malang,9.22,9.42,8.47,13.2,11.05"
"Lumajang,9.09,8.44,8.77,9.25,7.84"
"Jember,13.24,9.84,10.38,14.09,11.05"
"Banyuwangi,6.93,5.76,9.07,11.09,9.25"
"Bondowoso,11.56,14.49,12.72,16.87,13.6"
"Situbondo,17.22,17.35,13.33,19.65,15.67"
"Probolinggo,12.99,11.83,10.43,13.68,11.96"
"Pasuruan,9.64,10.37,9.05,11.57,10.28"
"Sidoarjo,4.28,3.07,4.03,6.34,4.84"
"Mojokerto,6.87,6.94,6.61,7.65,6.6"
"Jombang,8.29,7.52,8.98,9.63,8.78"
"Nganjuk,8.34,7.71,9.03,11.11,9.65"
"Madiun,9.17,10.97,12.46,14.09,13.43"
"Magetan,8.77,11.19,9.29,9.67,10.51"
"Ngawi,9.35,9.4,12.28,14.87,12.23"
"Bojonegoro,7.72,9.97,8.09,10.39,9.96"
"Tuban,7.02,7.89,6.83,7.59,9.12"
"Lamongan,5.37,5.3,5.06,5.91,6.41"
"Gresik,3.51,2.9,3.67,6.6,4.59"
"Bangkalan,9.52,12.18,9.19,14.61,10.37"
"Sampang,9.82,9.44,9.09,13.44,10.81"
"Pamekasan,8.84,14.36,9.43,12.63,11.88"
"Sumenep,4.63,6.49,3.95,3.72,7.93"
"Kota Kediri,5.91,5.31,6.6,6.41,6.37"
"Kota Blitar,6.11,5.42,6.11,7.21,6.25"
"Kota Malang,5.4,4.99,5.04,6.7,6.04"
"Kota Probolinggo,4.21,4.47,5.29,6.77,5.46"
"Kota Pasuruan,5.08,4.29,5.96,6.72,5.84"
"Kota Mojokerto,5.38,4.33,5.18,5.79,6.13"
"Kota Madiun,6.46,5.34,5.84,6.82,5.05"
"Kota Surabaya,1.9,2.37,4.06,4.37,3.72"
"Kota Batu,2.94,3.49,5.09,6.09,5.98"
"Pandeglang,2.58,2.7,4.69,4.39,4.37"
"Lebak,2.57,2.52,4.82,3.45,3.87"
"Tangerang,2.46,2.22,2.59,2.28,2.65"
"Serang,2.47,2.13,3.23,2.9,3.03"
"Kota Tangerang,2.05,1.89,1.58,1.71,2.16"
"Kota Cilegon,2.78,1.96,2.19,2.04,2.46"
"Kota Serang,2.64,2.18,2.3,2.42,1.99"
"Kota Tangerang Selatan,3.9,3.13,1.92,1.5,1.89"
"Jembrana,6.05,5.68,7.6,11.38,9.9"
"Tabanan,2.83,2.59,3.15,8.57,6.35"
"Badung,1.27,1.02,1.23,4.66,4.48"
"Gianyar,1.16,1,1.66,3.89,3.92"
"Klungkung,3.54,3.61,4.94,6.83,10.9"
"Bangli,4.34,2.94,3.71,6.68,7.25"
"Karangasem,7.15,7.57,8.43,13.18,13.42"
"Buleleng,6.98,6.66,7.64,11.74,10.15"
"Kota Denpasar,1.71,1.62,1.7,6.02,5.79"
"Lombok Barat,2.79,3.35,2.42,2.83,2.32"
"Lombok Tengah,2.28,3.84,2.98,2.82,2.18"
"Lombok Timur,2.29,2.37,1.52,1.32,0.98"
"Sumbawa,2.99,2.55,2.6,2.37,1.96"
"Dompu,2.25,1.69,2.06,2.53,1.91"
"Bima,2.28,3.54,3.21,3.95,2.7"
"Sumbawa Barat,2.22,0.87,0.76,0.83,1.03"
"Lombok Utara,2.43,3.04,2.66,2.92,2.91"
"Kota Mataram,3.42,1.4,0.65,1.29,0.96"
"Kota Bima,2.25,1.52,1.19,1.44,0.94"
"Sumba Barat,11.57,12,14.04,10.89,8"
"Sumba Timur,8.96,10.61,9.87,7.71,10.04"
"Kupang,13.85,14.39,17.14,17.66,16.21"
"Timor Tengah Selatan,11.46,12.61,15.45,15.92,13.88"
"Timor Tengah Utara,13.17,13.2,17.84,14.04,10.42"
"Belu,12.96,13.34,16.05,16,11.47"
"Alor,13.03,13.46,16.12,12.95,11.98"
"Lembata,12.09,12.5,15.85,18.36,17.93"
"Flores Timur,12.58,13.45,19.53,15.71,16.21"
"Sikka,12.91,12.8,17.61,13.97,15.18"
"Ende,11.79,12.75,13.1,10.99,9.56"
"Ngada,11.35,11.42,10.93,11.2,7.49"
"Manggarai,10.85,11.03,13.62,11.33,8.84"
"Rote Ndao,13.77,13.81,18.56,24.11,16.2"
"Manggarai Barat,11.3,11.03,10.39,10.09,7.78"
"Sumba Tengah,9.68,11.58,11.55,9.69,9.72"
"Sumba Barat Daya,10.51,10.59,7.99,7.73,9.74"
"Nagekeo,11.24,12.34,13.85,12.74,12.03"
"Manggarai Timur,12.84,13.14,12.9,13.04,10.5"
"Sabu Raijua,10.11,11.05,10.63,10.15,9.23"
"Malaka,13.17,12.18,15.13,16.49,13.77"
"Kota Kupang,12.64,12.52,23.07,17.54,10.66"
"Sambas,14.99,12.78,16.85,18.48,21.96"
"Bengkayang,15.79,12.63,15.21,17.53,17.95"
"Landak,14.46,10.89,10.43,18.71,20.44"
"Mempawah,14.89,15.19,18.88,21.96,23.22"
"Sanggau,17.18,16.45,18.52,21.72,22.76"
"Ketapang,11.77,13.48,14.58,24.33,19.21"
"Sintang,13.16,15.11,13.56,19.36,20.32"
"Kapuas Hulu,16.69,15.53,12.75,22.61,21.19"
"Sekadau,11.49,16.14,20.1,23.51,23.77"
"Melawi,19.49,20.28,19.73,21.43,21.08"
"Kayong Utara,14.59,12.32,11.9,16.06,15.79"
"Kubu Raya,16.13,17.56,19.55,21.45,22.08"
"Kota Pontianak,7.54,7.05,9.71,12.36,12.54"
"Kota Singkawang,7.55,7.39,9.29,10.4,11.21"
"Kotawaringin Barat,6.84,6.43,6.52,10.37,7.01"
"Kotawaringin Timur,7.47,7.57,8.44,12.6,8.32"
"Kapuas,15.41,14.77,16.09,20.91,14.48"
"Barito Selatan,10.71,10.82,11.68,15.03,9.31"
"Barito Utara,10.43,9.83,13.2,14.05,9.61"
"Sukamara,4.72,6.15,6.43,7.73,6.66"
"Lamandau,4.58,5.06,7.13,6.98,5.74"
"Seruyan,5.72,6.37,7.11,10.74,7.18"
"Katingan,7.88,9.57,7.47,9.41,6.54"
"Pulang Pisau,9.21,9.36,10.73,12.36,8.98"
"Gunung Mas,4.46,5.81,8.24,8.59,5.53"
"Barito Timur,7.17,8.67,10.92,14.27,10.55"
"Murung Raya,5.39,8.71,8.97,13.6,11.29"
"Kota Palangka Raya,6.44,6.06,6.34,11.83,7.89"
"Tanah Laut,3.27,4.14,4.06,3.61,2.71"
"Kota Baru,4.12,3.7,4.43,4.35,2.39"
"Banjar,4.25,3.97,5.61,5.22,2.81"
"Barito Kuala,5.58,5.36,6.73,5.78,3.52"
"Tapin,2.76,3.05,4.1,4.84,2.82"
