"Indikator Pendidikan, 1994-2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indikator,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,,,,,,,,,,,
Usia 5-6 tahun, * , * , * , * , * , * , * , 29.03 , 24.84 , 23.79 , 24.08 , 26.54 , 23.74 , 21.83 , 27.07 , 27.22 , 27.19 , 33.40 , 35.54 , 37.18 , 39.25 , 47.51 , 48.00 , 49.39 , 55.38 , 55.61 , 54.77 , 49.63 , 51.79 , 60.28 , 60.62 , 70.55 ,,,,,,,,,,,
Usia 3-6 tahun, * , * , * , * , * , * , * , 21.96 , 19.25 , 18.27 , 18.36 , 20.64 , 19.53 , 16.71 , 20.23 , 22.04 , 23.22 , 24.50 , 26.72 , 27.55 , 32.68 , 35.28 , 34.69 , 34.36 , 38.61 , 37.43 , 37.98 , 35.74 , 35.50 , 36.77 , 36.77 , 46.51 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partisipasi Pra Sekolah (sedang/pernah tahun ajaran ini dan sebelumnya),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usia 3-4 tahun, * , * , * , * , * , * , * , 14.46 , 13.38 , 12.78 , 12.96 , 14.58 , 15.23 , 14.68 , 16.09 , 20.19 , 22.59 , 19.70 , 22.09 , 22.20 , 23.83 , 24.01 , 22.16 , 20.41 , 22.25 , 19.26 , 21.16 , 21.80 , 20.17 , 15.66 , 16.00 , 25.62 ,,,,,,,,,,,
Usia 5-6 tahun, * , * , * , * , * , * , * , 35.02 , 32.37 , 32.39 , 33.21 , 34.85 , 37.77 , 37.57 , 41.78 , 49.41 , 53.38 , 54.61 , 57.38 , 59.83 , 62.67 , 71.70 , 71.46 , 71.82 , 74.20 , 73.31 , 73.23 , 68.85 , 59.55 , 76.57 , 75.21 , 85.97 ,,,,,,,,,,,
Usia 3-6 tahun, * , * , * , * , * , * , * , 25.04 , 23.11 , 22.56 , 22.80 , 24.85 , 26.64 , 25.32 , 28.87 , 34.39 , 37.68 , 36.81 , 39.43 , 40.92 , 46.92 , 48.52 , 47.45 , 46.20 , 48.35 , 46.79 , 47.71 , 45.76 , 44.71 , 44.76 , 43.83 , 53.89 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUTA HURUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angka Buta Huruf 10 tahun ke Atas, 12.74 , 13.74 , 12.65 , 10.93 , 10.58 , 10.21 , 10.08 , 10.73 , 9.29 , 9.07 , 8.53 , 8.09 , 7.61 , 7.26 , 6.95 , 6.59 , 6.34 , 6.80 , 6.28 , 5.46 , 4.39 , 4.27 , 4.19 , 4.08 , 3.93 , 3.70 , 3.62 , 3.63 , 3.34 , 3.18 , 3.05 , 2.67 ,,,,,,,,,,,
